,Lat,Long
0,33.93911,67.709953
1,41.1533,20.1683
2,28.0339,1.6596
3,42.5063,1.5218
4,-11.2027,17.8739
5,17.0608,-61.7964
6,-38.4161,-63.6167
7,40.0691,45.0382
8,-35.4735,149.0124
9,-33.8688,151.2093
10,-12.4634,130.8456
11,-27.4698,153.0251
12,-34.9285,138.6007
13,-42.8821,147.3272
14,-37.8136,144.9631
15,-31.9505,115.8605
16,47.5162,14.5501
17,40.1431,47.5769
18,25.025885,-78.035889
19,26.0275,50.55
20,23.685,90.3563
21,13.1939,-59.5432
22,53.7098,27.9534
23,50.8333,4.469936
24,17.1899,-88.4976
25,9.3077,2.3158
26,27.5142,90.4336
27,-16.2902,-63.5887
28,43.9159,17.6791
29,-22.3285,24.6849
30,-14.235,-51.9253
31,4.5353,114.7277
32,42.7339,25.4858
33,12.2383,-1.5616
34,21.9162,95.956
35,-3.3731,29.9189
36,16.5388,-23.0418
37,11.55,104.9167
38,3.848,11.5021
39,53.9333,-116.5765
40,53.7267,-127.6476
43,53.7609,-98.8139
44,46.5653,-66.4619
45,53.1355,-57.6604
46,64.8255,-124.8457
47,44.682,-63.7443
48,70.2998,-83.1076
49,51.2538,-85.3232
50,46.5107,-63.4168
51,52.9399,-73.5491
53,52.9399,-106.4509
54,64.2823,-135.0
55,6.6111,20.9394
56,15.4542,18.7322
57,-35.6751,-71.543
58,31.8257,117.2264
59,40.1824,116.4142
60,30.0572,107.874
61,26.0789,117.9874
62,35.7518,104.2861
63,23.3417,113.4244
64,23.8298,108.7881
65,26.8154,106.8748
66,19.1959,109.7453
67,39.549,116.1306
68,47.862,127.7615
69,37.8957,114.9042
70,22.3,114.2
71,30.9756,112.2707
72,27.6104,111.7088
73,44.0935,113.9448
74,32.9711,119.455
75,27.614,115.7221
76,43.6661,126.1923
77,41.2956,122.6085
78,22.1667,113.55
79,37.2692,106.1655
80,35.7452,95.9956
81,35.1917,108.8701
82,36.3427,118.1498
83,31.202,121.4491
84,37.5777,112.2922
85,30.6171,102.7103
86,39.3054,117.323
87,31.6927,88.0924
89,41.1129,85.2401
90,24.974,101.487
91,29.1832,120.0934
92,4.5709,-74.2973
93,-11.6455,43.3333
94,-0.228,15.8277
95,-4.0383,21.7587
96,9.7489,-83.7534
97,7.54,-5.5471
98,45.1,15.2
99,21.521757,-77.781167
100,35.1264,33.4299
101,49.8175,15.473
102,61.8926,-6.9118
103,71.7069,-42.6043
104,56.2639,9.5018
106,11.8251,42.5903
107,15.415,-61.371
108,18.7357,-70.1627
109,-1.8312,-78.1834
110,26.820553,30.802498
111,13.7942,-88.8965
112,1.6508,10.2679
113,15.1794,39.7823
114,58.5953,25.0136
115,-26.5225,31.4659
116,9.145,40.4897
117,-17.7134,178.065
118,61.92411,25.748151
119,3.9339,-53.1258
120,-17.6797,149.4068
121,16.265,-61.551
122,14.6415,-61.0242
123,-12.8275,45.166244
124,-20.904305,165.618042
125,-21.1151,55.5364
126,17.9,-62.8333
127,46.8852,-56.3159
128,18.0708,-63.0501
129,-14.2938,-178.1165
130,46.2276,2.2137
131,-0.8037,11.6094
132,13.4432,-15.3101
133,42.3154,43.3569
134,51.165691,10.451526
135,7.9465,-1.0232
136,39.0742,21.8243
137,12.1165,-61.679
138,15.7835,-90.2308
139,9.9456,-9.6966
140,11.8037,-15.1804
141,4.860416,-58.93018
142,18.9712,-72.2852
143,41.9029,12.4534
144,15.2,-86.2419
145,47.1625,19.5033
146,64.9631,-19.0208
147,20.593684,78.96288
148,-0.7893,113.9213
149,32.427908,53.688046
150,33.223191,43.679291
151,53.1424,-7.6921
152,31.046051,34.851612
153,41.87194,12.56738
154,18.1096,-77.2975
155,36.204824,138.252924
156,31.24,36.51
157,48.0196,66.9237
158,-0.0236,37.9062
159,35.907757,127.766922
160,42.602636,20.902977
161,29.31166,47.481766
162,41.20438,74.766098
163,19.85627,102.495496
164,56.8796,24.6032
165,33.8547,35.8623
166,-29.61,28.2336
167,6.428055,-9.429499
168,26.3351,17.228331
169,47.14,9.55
170,55.1694,23.8813
171,49.8153,6.1296
173,-18.766947,46.869107
174,-13.2543,34.3015
175,4.210484,101.975766
176,3.2028,73.2207
177,17.570692,-3.996166
178,35.9375,14.3754
179,7.1315,171.1845
180,21.0079,-10.9408
181,-20.348404,57.552152
182,23.6345,-102.5528
183,7.4256,150.5508
184,47.4116,28.3699
185,43.7333,7.4167
186,46.8625,103.8467
187,42.708678,19.37439
188,31.7917,-7.0926
189,-18.665695,35.529562
190,-22.9576,18.4904
191,28.1667,84.25
192,12.5211,-69.9683
193,12.1784,-68.2385
194,12.1696,-68.99
195,18.0425,-63.0548
196,52.1326,5.2913
197,-40.9006,174.886
198,12.865416,-85.207229
199,17.607789,8.081666
200,9.082,8.6753
201,41.6086,21.7453
202,60.472,8.4689
203,21.512583,55.923255
204,30.3753,69.3451
205,8.538,-80.7821
206,-6.314993,143.95555
207,-23.4425,-58.4438
208,-9.19,-75.0152
209,12.879721,121.774017
210,51.9194,19.1451
211,39.3999,-8.2245
212,25.3548,51.1839
213,45.9432,24.9668
214,61.52401,105.318756
215,-1.9403,29.8739
216,17.357822,-62.782998
217,13.9094,-60.9789
218,12.9843,-61.2872
219,-13.759,-172.1046
220,43.9424,12.4578
221,0.1864,6.6131
222,23.885942,45.079162
223,14.4974,-14.4524
224,44.0165,21.0059
225,-4.6796,55.492
226,8.460555,-11.779889
227,1.2833,103.8333
228,48.669,19.699
229,46.1512,14.9955
230,-9.6457,160.1562
231,5.152149,46.199616
232,-30.5595,22.9375
233,6.877,31.307
234,40.463667,-3.74922
235,7.873054,80.771797
236,12.8628,30.2176
237,3.9193,-56.0278
238,60.128161,18.643501
239,46.8182,8.2275
240,34.802075,38.996815
241,23.7,121.0
242,38.861,71.2761
243,-6.369028,34.888822
244,15.870032,100.992541
245,-8.874217,125.727539
246,8.6195,0.8248
247,10.6918,-61.2225
248,33.886917,9.537499
249,38.9637,35.2433
250,40.0,-100.0
251,1.373333,32.290275
252,48.3794,31.1656
253,23.424076,53.847818
254,18.2206,-63.0686
255,32.3078,-64.7505
256,18.4207,-64.64
257,19.3133,-81.2546
258,49.3723,-2.3644
259,-51.7963,-59.5236
260,36.1408,-5.3536
261,54.2361,-4.5481
262,16.742498,-62.187366
263,-7.9467,-14.3559
264,21.694,-71.7979
265,55.3781,-3.436
266,-32.5228,-55.7658
267,41.377491,64.585262
268,-15.3767,166.9592
269,6.4238,-66.5897
270,14.058324,108.277199
271,31.9522,35.2332
272,15.552727,48.516388
273,-13.133897,27.849332
274,-19.015438,29.154857
